UTC Time;Battery Voltage (V);Engine RPM
0000-00-00T00:00:36;10,1875;371
0000-00-00T00:00:37;11,75;2267
0000-00-00T00:00:41;12,8125;1820
0000-00-00T00:00:46;12,8125;2302
0000-00-00T00:00:56;12,875;1853
0000-00-00T00:01:06;13,375;1896
0000-00-00T15:01:12;13,25;2063
0000-00-00T15:01:22;13,375;2338
0000-00-00T15:01:32;13,375;2374
0000-00-00T15:01:42;13,375;2314
0000-00-00T15:01:52;13,4375;2251
0022-03-17T15:02:07;13,3125;2218
0022-03-17T15:02:17;13,4375;2656
0022-03-17T15:02:27;13,4375;2728
0022-03-17T15:02:37;13,375;1937
0022-03-17T15:02:47;13,375;2384
0022-03-17T15:02:57;13,25;2739
0022-03-17T15:03:07;13,4375;2915
0022-03-17T15:03:17;13,5;2725
0022-03-17T15:03:27;13,4375;2299
0022-03-17T15:03:37;13,375;3023
0022-03-17T15:03:47;13,4375;2182
0022-03-17T15:03:57;13,375;2348
0022-03-17T15:04:07;13,3125;1404
0022-03-17T15:04:17;13,0625;1391
0022-03-17T15:04:27;13,1875;1640
0022-03-17T15:04:37;13,0625;1629
0022-03-17T15:04:47;13,375;1629
0022-03-17T15:04:57;13,25;0
0000-00-00T00:00:05;13,125;0
0000-00-00T00:00:15;13,0625;0
0000-00-00T00:00:21;11;530
0000-00-00T00:00:22;11,6875;539
0000-00-00T00:00:30;12,75;2171
0000-00-00T00:00:40;12,8125;2210
0000-00-00T15:31:41;12,75;2251
0000-00-00T15:31:51;12,75;2278
0000-00-00T15:32:01;12,75;2284
0000-00-00T15:32:11;12,75;2325
0000-00-00T15:32:21;13,1875;2293
0000-00-00T15:32:31;13,3125;2290
0000-00-00T15:32:41;13,25;2246
0000-00-00T15:32:51;13,375;2244
0000-00-00T15:33:01;13,25;2269
0000-00-00T15:33:11;13,375;2273
0000-00-00T15:33:21;13,375;2283
0000-00-00T15:33:31;13,375;2299
0000-00-00T15:33:41;13,3125;2297
0000-00-00T15:33:51;13,25;2819
0000-00-00T15:34:01;13,375;1929
0000-00-00T15:34:11;13,375;2271
0000-00-00T15:34:21;13,375;2508
0000-00-00T15:34:31;13,4375;2908
0000-00-00T15:34:41;13,5;2662
0000-00-00T15:34:51;13,4375;1687
0000-00-00T15:35:01;13,4375;3576
0000-00-00T15:35:11;13,4375;2984
0000-00-00T15:35:21;13,375;2841
0000-00-00T15:35:31;13,4375;1876
0000-00-00T15:35:41;13,4375;1747
0000-00-00T15:35:51;13,4375;1781
0000-00-00T15:36:01;13,4375;2201
0000-00-00T15:36:11;13,4375;1826
0000-00-00T15:36:21;13,4375;1775
0000-00-00T15:36:31;13,4375;1807
0000-00-00T15:36:41;13,375;1852
0000-00-00T15:36:51;13,4375;1842
0000-00-00T15:37:01;13,4375;1802
0000-00-00T15:37:11;13,4375;1755
0022-03-17T15:37:21;13,375;1761
0022-03-17T15:37:31;13,4375;1792
0022-03-17T15:37:41;13,375;2133
0022-03-17T15:37:51;13,4375;2210
0022-03-17T15:38:01;13,4375;2197
0022-03-17T15:38:11;13,5;2166
0022-03-17T15:38:21;13,4375;2125
0022-03-17T15:38:31;13,375;1736
0022-03-17T15:38:41;13,375;1836
0022-03-17T15:38:51;13,5;2345
0022-03-17T15:39:01;13,4375;2097
0022-03-17T15:39:11;13,4375;1982
0022-03-17T15:39:21;13,375;2475
0022-03-17T15:39:31;13,4375;1776
0022-03-17T15:39:41;13,375;1796
0022-03-17T15:39:51;13,3125;1842
0022-03-17T15:40:01;13,3125;1844
0022-03-17T15:40:11;13,3125;1842
0022-03-17T15:40:21;13,375;3675
0022-03-17T15:40:31;13,375;4037
0022-03-17T15:40:41;13,375;1763
0022-03-17T15:40:51;13,4375;2150
0022-03-17T15:41:01;13,375;2127
0022-03-17T15:41:11;13,375;2139
0022-03-17T15:41:21;13,375;2154
0022-03-17T15:41:31;13,4375;2156
0022-03-17T15:41:41;13,3125;3034
0022-03-17T15:41:51;13,375;1772
0022-03-17T15:42:01;13,375;2261
0022-03-17T15:42:11;13,3125;2512
0022-03-17T15:42:21;13,375;4698
0022-03-17T15:42:31;13,375;4615
0022-03-17T15:42:41;13,3125;4619
0022-03-17T15:42:51;13,5;4614
0022-03-17T15:43:01;13,3125;4611
0022-03-17T15:43:11;13,4375;4598
0022-03-17T15:43:21;13,5;4663
0022-03-17T15:43:31;13,3125;4659
0022-03-17T15:43:41;13,375;4666
0022-03-17T15:43:51;13,4375;4659
0022-03-17T15:44:01;13,375;4538
0022-03-17T15:44:11;13,3125;4361
0022-03-17T15:44:21;13,5;4203
0022-03-17T15:44:31;13,375;4245
0022-03-17T15:44:41;13,4375;4464
0022-03-17T15:44:51;13,3125;4516
0022-03-17T15:45:01;13,625;4393
0022-03-17T15:45:11;13,4375;4419
0022-03-17T15:45:21;13,4375;4451
0022-03-17T15:45:31;13,375;4397
0022-03-17T15:45:41;13,4375;4446
0022-03-17T15:45:51;13,625;4379
0022-03-17T15:46:01;13,4375;4509
0022-03-17T15:46:11;13,375;4407
0022-03-17T15:46:21;13,5625;4363
0022-03-17T15:46:31;13,375;3825
0022-03-17T15:46:41;13,375;3692
0022-03-17T15:46:51;13,4375;3525
0022-03-17T15:47:01;13,4375;3458
0022-03-17T15:47:11;13,4375;3482
0022-03-17T15:47:21;13,5;3545
0022-03-17T15:47:31;13,5;3538
0022-03-17T15:47:41;13,375;3498
0022-03-17T15:47:51;13,4375;3555
0022-03-17T15:48:01;13,5;3589
0022-03-17T15:48:11;13,3125;3274
0022-03-17T15:48:21;13,4375;3396
0022-03-17T15:48:31;13,5;3381
0022-03-17T15:48:41;13,375;3297
0022-03-17T15:48:51;13,375;3237
0022-03-17T15:49:01;13,5;3253
0022-03-17T15:49:11;13,5;3216
0022-03-17T15:49:21;13,4375;3087
0022-03-17T15:49:31;13,4375;3102
0022-03-17T15:49:41;13,5;3151
0022-03-17T15:49:51;13,375;2523
0022-03-17T15:50:01;13,375;2549
0022-03-17T15:50:11;13,5;2402
0022-03-17T15:50:21;13,4375;2443
0022-03-17T15:50:31;13,375;2395
0022-03-17T15:50:41;13,4375;2391
0022-03-17T15:50:51;13,4375;2351
0022-03-17T15:51:01;13,4375;2736
0022-03-17T15:51:11;13,4375;4615
0022-03-17T15:51:21;13,5;4632
